id	time	feature	measure
1	1495	Cruo	S
2	1495	Cruo	S
3	1505	Cruo	G
4	1505	Cruo	G
5	1505	Cruo	S
6	1505	Cruo	S
7	1505	Cruo	S
8	1505	Cruo	S
9	1505	Cruo	S
10	1505	Cruo	S
11	1505	Cruo	S
12	1505	Cruo	S
13	1505	Cruo	S
14	1505	Cruo	S
15	1505	Cruo	S
16	1505	Cruo	S
17	1505	Cruo	S
18	1505	Cruo	S
19	1505	Cruo	S
20	1510	Cruo	G
21	1510	Cruo	S
22	1510	Cruo	S
23	1510	Cruo	S
24	1510	Cruo	S
25	1510	Cruo	S
26	1510	Cruo	S
27	1510	Cruo	S
28	1510	Cruo	S
29	1510	Cruo	S
30	1515	Cruo	G
31	1515	Cruo	S
32	1515	Cruo	S
33	1515	Cruo	S
34	1515	Cruo	S
35	1515	Cruo	S
36	1515	Cruo	S
37	1515	Cruo	S
38	1515	Cruo	S
39	1515	Cruo	S
40	1515	Cruo	S
41	1515	Cruo	S
42	1515	Cruo	S
43	1515	Cruo	S
44	1515	Cruo	S
45	1515	Cruo	S
46	1515	Cruo	S
47	1515	Cruo	S
48	1515	Cruo	S
49	1515	Cruo	S
50	1520	Cruo	S
51	1520	Cruo	S
52	1520	Cruo	S
53	1520	Cruo	S
54	1520	Cruo	S
55	1520	Cruo	S
56	1520	Cruo	S
57	1520	Cruo	S
58	1525	Cruo	S
59	1525	Cruo	S
60	1525	Cruo	S
61	1525	Cruo	S
62	1525	Cruo	S
63	1525	Cruo	S
64	1525	Cruo	S
65	1530	Cruo	G
66	1530	Cruo	S
67	1530	Cruo	S
68	1530	Cruo	S
69	1530	Cruo	S
70	1530	Cruo	S
71	1535	Cruo	S
72	1540	Cruo	G
73	1540	Cruo	G
74	1540	Cruo	G
75	1540	Cruo	G
76	1540	Cruo	G
77	1540	Cruo	S
78	1540	Cruo	S
79	1540	Cruo	S
80	1540	Cruo	S
81	1540	Cruo	S
82	1540	Cruo	S
83	1540	Cruo	S
84	1540	Cruo	S
85	1540	Cruo	S
86	1540	Cruo	S
87	1540	Cruo	S
88	1540	Cruo	S
89	1540	Cruo	S
90	1540	Cruo	S
91	1540	Cruo	S
92	1540	Cruo	S
93	1540	Cruo	S
94	1545	Cruo	G
95	1545	Cruo	G
96	1545	Cruo	G
97	1545	Cruo	G
98	1545	Cruo	G
99	1545	Cruo	G
100	1545	Cruo	G
101	1545	Cruo	G
102	1545	Cruo	G
103	1545	Cruo	G
104	1545	Cruo	G
105	1545	Cruo	G
106	1545	Cruo	G
107	1545	Cruo	G
108	1545	Cruo	S
109	1545	Cruo	S
110	1545	Cruo	S
111	1545	Cruo	S
112	1545	Cruo	S
113	1545	Cruo	S
114	1545	Cruo	S
115	1545	Cruo	S
116	1545	Cruo	S
117	1545	Cruo	S
118	1545	Cruo	S
119	1545	Cruo	S
120	1545	Cruo	S
121	1545	Cruo	S
122	1545	Cruo	S
123	1545	Cruo	S
124	1545	Cruo	S
125	1545	Cruo	S
126	1545	Cruo	S
127	1545	Cruo	S
128	1545	Cruo	S
129	1545	Cruo	S
130	1545	Cruo	S
131	1545	Cruo	S
132	1545	Cruo	S
133	1545	Cruo	S
134	1545	Cruo	S
135	1545	Cruo	S
136	1545	Cruo	S
137	1550	Cruo	G
138	1550	Cruo	G
139	1550	Cruo	G
140	1550	Cruo	G
141	1550	Cruo	G
142	1550	Cruo	G
143	1550	Cruo	G
144	1550	Cruo	G
145	1550	Cruo	S
146	1550	Cruo	S
147	1550	Cruo	S
148	1550	Cruo	S
149	1550	Cruo	S
150	1550	Cruo	S
151	1550	Cruo	S
152	1550	Cruo	S
153	1550	Cruo	S
154	1550	Cruo	S
155	1550	Cruo	S
156	1550	Cruo	S
157	1555	Cruo	G
158	1555	Cruo	G
159	1555	Cruo	G
160	1555	Cruo	G
161	1555	Cruo	G
162	1555	Cruo	G
163	1555	Cruo	G
164	1555	Cruo	G
165	1555	Cruo	G
166	1555	Cruo	G
167	1555	Cruo	S
168	1555	Cruo	S
169	1555	Cruo	S
170	1555	Cruo	S
171	1555	Cruo	S
172	1555	Cruo	S
173	1555	Cruo	S
174	1555	Cruo	S
175	1555	Cruo	S
176	1560	Cruo	S
177	1560	Cruo	S
178	1560	Cruo	S
179	1560	Cruo	S
180	1560	Cruo	S
181	1495	Crie	S
182	1495	Crie	S
183	1495	Crie	S
184	1505	Crie	G
185	1505	Crie	G
186	1505	Crie	G
187	1505	Crie	S
188	1505	Crie	S
189	1505	Crie	S
190	1505	Crie	S
191	1505	Crie	S
192	1505	Crie	S
193	1505	Crie	S
194	1505	Crie	S
195	1505	Crie	S
196	1505	Crie	S
197	1505	Crie	S
198	1505	Crie	S
199	1505	Crie	S
200	1505	Crie	S
201	1505	Crie	S
202	1505	Crie	S
203	1505	Crie	S
204	1505	Crie	S
205	1505	Crie	S
206	1505	Crie	S
207	1505	Crie	S
208	1505	Crie	S
209	1505	Crie	S
210	1505	Crie	S
211	1505	Crie	S
212	1505	Crie	S
213	1505	Crie	S
214	1505	Crie	S
215	1505	Crie	S
216	1505	Crie	S
217	1505	Crie	S
218	1505	Crie	S
219	1505	Crie	S
220	1505	Crie	S
221	1505	Crie	S
222	1505	Crie	S
223	1505	Crie	S
224	1505	Crie	S
225	1505	Crie	S
226	1505	Crie	S
227	1505	Crie	S
228	1505	Crie	S
229	1505	Crie	S
230	1505	Crie	S
231	1505	Crie	S
232	1505	Crie	S
233	1505	Crie	S
234	1505	Crie	S
235	1505	Crie	S
236	1505	Crie	S
237	1505	Crie	S
238	1505	Crie	S
239	1505	Crie	S
240	1505	Crie	S
241	1505	Crie	S
242	1505	Crie	S
243	1505	Crie	S
244	1505	Crie	S
245	1505	Crie	S
246	1505	Crie	S
247	1505	Crie	S
248	1505	Crie	S
249	1505	Crie	S
250	1505	Crie	S
251	1505	Crie	S
252	1505	Crie	S
253	1505	Crie	S
254	1505	Crie	S
255	1505	Crie	S
256	1505	Crie	S
257	1505	Crie	S
258	1505	Crie	S
259	1505	Crie	S
260	1505	Crie	S
261	1505	Crie	S
262	1505	Crie	S
263	1505	Crie	S
264	1505	Crie	S
265	1505	Crie	S
266	1505	Crie	S
267	1505	Crie	S
268	1505	Crie	S
269	1510	Crie	S
270	1510	Crie	S
271	1510	Crie	S
272	1510	Crie	S
273	1510	Crie	S
274	1510	Crie	S
275	1510	Crie	S
276	1510	Crie	S
277	1510	Crie	S
278	1510	Crie	S
279	1510	Crie	S
280	1510	Crie	S
281	1510	Crie	S
282	1510	Crie	S
283	1510	Crie	S
284	1510	Crie	S
285	1510	Crie	S
286	1510	Crie	S
287	1510	Crie	S
288	1510	Crie	S
289	1510	Crie	S
290	1510	Crie	S
291	1510	Crie	S
292	1510	Crie	S
293	1510	Crie	S
294	1510	Crie	S
295	1510	Crie	S
296	1510	Crie	S
297	1510	Crie	S
298	1510	Crie	S
299	1510	Crie	S
300	1510	Crie	S
301	1510	Crie	S
302	1510	Crie	S
303	1510	Crie	S
304	1510	Crie	S
305	1510	Crie	S
306	1510	Crie	S
307	1510	Crie	S
308	1510	Crie	S
309	1510	Crie	S
310	1510	Crie	S
311	1510	Crie	S
312	1510	Crie	S
313	1510	Crie	S
314	1510	Crie	S
315	1510	Crie	S
316	1510	Crie	S
317	1510	Crie	S
318	1510	Crie	S
319	1510	Crie	S
320	1510	Crie	S
321	1510	Crie	S
322	1515	Crie	G
323	1515	Crie	G
324	1515	Crie	G
325	1515	Crie	G
326	1515	Crie	G
327	1515	Crie	G
328	1515	Crie	G
329	1515	Crie	G
330	1515	Crie	S
331	1515	Crie	S
332	1515	Crie	S
333	1515	Crie	S
334	1515	Crie	S
335	1515	Crie	S
336	1515	Crie	S
337	1515	Crie	S
338	1515	Crie	S
339	1515	Crie	S
340	1515	Crie	S
341	1515	Crie	S
342	1515	Crie	S
343	1515	Crie	S
344	1515	Crie	S
345	1515	Crie	S
346	1515	Crie	S
347	1515	Crie	S
348	1515	Crie	S
349	1515	Crie	S
350	1515	Crie	S
351	1515	Crie	S
352	1515	Crie	S
353	1515	Crie	S
354	1515	Crie	S
355	1515	Crie	S
356	1515	Crie	S
357	1515	Crie	S
358	1515	Crie	S
359	1515	Crie	S
360	1515	Crie	S
361	1515	Crie	S
362	1515	Crie	S
363	1515	Crie	S
364	1515	Crie	S
365	1515	Crie	S
366	1515	Crie	S
367	1515	Crie	S
368	1515	Crie	S
369	1515	Crie	S
370	1515	Crie	S
371	1515	Crie	S
372	1515	Crie	S
373	1515	Crie	S
374	1515	Crie	S
375	1515	Crie	S
376	1515	Crie	S
377	1515	Crie	S
378	1515	Crie	S
379	1515	Crie	S
380	1515	Crie	S
381	1515	Crie	S
382	1515	Crie	S
383	1515	Crie	S
384	1515	Crie	S
385	1515	Crie	S
386	1515	Crie	S
387	1515	Crie	S
388	1515	Crie	S
389	1515	Crie	S
390	1515	Crie	S
391	1515	Crie	S
392	1515	Crie	S
393	1515	Crie	S
394	1515	Crie	S
395	1515	Crie	S
396	1515	Crie	S
397	1515	Crie	S
398	1515	Crie	S
399	1515	Crie	S
400	1515	Crie	S
401	1515	Crie	S
402	1515	Crie	S
403	1515	Crie	S
404	1515	Crie	S
405	1515	Crie	S
406	1515	Crie	S
407	1515	Crie	S
408	1515	Crie	S
409	1515	Crie	S
410	1515	Crie	S
411	1515	Crie	S
412	1520	Crie	G
413	1520	Crie	G
414	1520	Crie	G
415	1520	Crie	S
416	1520	Crie	S
417	1520	Crie	S
418	1520	Crie	S
419	1520	Crie	S
420	1520	Crie	S
421	1520	Crie	S
422	1520	Crie	S
423	1520	Crie	S
424	1520	Crie	S
425	1520	Crie	S
426	1520	Crie	S
427	1520	Crie	S
428	1520	Crie	S
429	1520	Crie	S
430	1520	Crie	S
431	1520	Crie	S
432	1520	Crie	S
433	1520	Crie	S
434	1520	Crie	S
435	1520	Crie	S
436	1520	Crie	S
437	1520	Crie	S
438	1520	Crie	S
439	1520	Crie	S
440	1520	Crie	S
441	1520	Crie	S
442	1520	Crie	S
443	1520	Crie	S
444	1520	Crie	S
445	1520	Crie	S
446	1520	Crie	S
447	1520	Crie	S
448	1520	Crie	S
449	1520	Crie	S
450	1520	Crie	S
451	1520	Crie	S
452	1520	Crie	S
453	1520	Crie	S
454	1520	Crie	S
455	1520	Crie	S
456	1520	Crie	S
457	1520	Crie	S
458	1520	Crie	S
459	1520	Crie	S
460	1520	Crie	S
461	1520	Crie	S
462	1520	Crie	S
463	1520	Crie	S
464	1520	Crie	S
465	1520	Crie	S
466	1520	Crie	S
467	1520	Crie	S
468	1520	Crie	S
469	1520	Crie	S
470	1520	Crie	S
471	1525	Crie	G
472	1525	Crie	G
473	1525	Crie	G
474	1525	Crie	G
475	1525	Crie	S
476	1525	Crie	S
477	1525	Crie	S
478	1525	Crie	S
479	1525	Crie	S
480	1525	Crie	S
481	1525	Crie	S
482	1525	Crie	S
483	1525	Crie	S
484	1525	Crie	S
485	1525	Crie	S
486	1525	Crie	S
487	1525	Crie	S
488	1525	Crie	S
489	1525	Crie	S
490	1525	Crie	S
491	1525	Crie	S
492	1525	Crie	S
493	1525	Crie	S
494	1525	Crie	S
495	1525	Crie	S
496	1525	Crie	S
497	1525	Crie	S
498	1525	Crie	S
499	1525	Crie	S
500	1525	Crie	S
501	1525	Crie	S
502	1525	Crie	S
503	1525	Crie	S
504	1525	Crie	S
505	1525	Crie	S
506	1525	Crie	S
507	1525	Crie	S
508	1525	Crie	S
509	1525	Crie	S
510	1525	Crie	S
511	1530	Crie	G
512	1530	Crie	S
513	1530	Crie	S
514	1530	Crie	S
515	1530	Crie	S
516	1530	Crie	S
517	1530	Crie	S
518	1530	Crie	S
519	1530	Crie	S
520	1535	Crie	S
521	1535	Crie	S
522	1535	Crie	S
523	1540	Crie	G
524	1540	Crie	G
525	1540	Crie	S
526	1540	Crie	S
527	1540	Crie	S
528	1540	Crie	S
529	1540	Crie	S
530	1540	Crie	S
531	1540	Crie	S
532	1540	Crie	S
533	1540	Crie	S
534	1540	Crie	S
535	1540	Crie	S
536	1540	Crie	S
537	1540	Crie	S
538	1540	Crie	S
539	1540	Crie	S
540	1540	Crie	S
541	1540	Crie	S
542	1540	Crie	S
543	1540	Crie	S
544	1540	Crie	S
545	1540	Crie	S
546	1540	Crie	S
547	1540	Crie	S
548	1540	Crie	S
549	1540	Crie	S
550	1540	Crie	S
551	1540	Crie	S
552	1540	Crie	S
553	1540	Crie	S
554	1540	Crie	S
555	1540	Crie	S
556	1540	Crie	S
557	1540	Crie	S
558	1540	Crie	S
559	1540	Crie	S
560	1540	Crie	S
561	1540	Crie	S
562	1540	Crie	S
563	1540	Crie	S
564	1540	Crie	S
565	1540	Crie	S
566	1540	Crie	S
567	1540	Crie	S
568	1540	Crie	S
569	1540	Crie	S
570	1540	Crie	S
571	1540	Crie	S
572	1540	Crie	S
573	1540	Crie	S
574	1540	Crie	S
575	1540	Crie	S
576	1545	Crie	G
577	1545	Crie	G
578	1545	Crie	G
579	1545	Crie	G
580	1545	Crie	G
581	1545	Crie	G
582	1545	Crie	G
583	1545	Crie	G
584	1545	Crie	G
585	1545	Crie	G
586	1545	Crie	G
587	1545	Crie	S
588	1545	Crie	S
589	1545	Crie	S
590	1545	Crie	S
591	1545	Crie	S
592	1545	Crie	S
593	1545	Crie	S
594	1545	Crie	S
595	1545	Crie	S
596	1545	Crie	S
597	1545	Crie	S
598	1545	Crie	S
599	1545	Crie	S
600	1545	Crie	S
601	1545	Crie	S
602	1545	Crie	S
603	1545	Crie	S
604	1545	Crie	S
605	1545	Crie	S
606	1545	Crie	S
607	1545	Crie	S
608	1545	Crie	S
609	1545	Crie	S
610	1545	Crie	S
611	1545	Crie	S
612	1545	Crie	S
613	1545	Crie	S
614	1545	Crie	S
615	1545	Crie	S
616	1545	Crie	S
617	1545	Crie	S
618	1545	Crie	S
619	1545	Crie	S
620	1545	Crie	S
621	1545	Crie	S
622	1545	Crie	S
623	1545	Crie	S
624	1545	Crie	S
625	1545	Crie	S
626	1545	Crie	S
627	1545	Crie	S
628	1545	Crie	S
629	1545	Crie	S
630	1545	Crie	S
631	1545	Crie	S
632	1545	Crie	S
633	1545	Crie	S
634	1545	Crie	S
635	1545	Crie	S
636	1545	Crie	S
637	1545	Crie	S
638	1545	Crie	S
639	1545	Crie	S
640	1545	Crie	S
641	1545	Crie	S
642	1545	Crie	S
643	1545	Crie	S
644	1545	Crie	S
645	1545	Crie	S
646	1545	Crie	S
647	1545	Crie	S
648	1545	Crie	S
649	1545	Crie	S
650	1545	Crie	S
651	1545	Crie	S
652	1545	Crie	S
653	1545	Crie	S
654	1545	Crie	S
655	1545	Crie	S
656	1545	Crie	S
657	1545	Crie	S
658	1545	Crie	S
659	1545	Crie	S
660	1545	Crie	S
661	1545	Crie	S
662	1545	Crie	S
663	1545	Crie	S
664	1545	Crie	S
665	1545	Crie	S
666	1545	Crie	S
667	1545	Crie	S
668	1545	Crie	S
669	1550	Crie	G
670	1550	Crie	G
671	1550	Crie	G
672	1550	Crie	G
673	1550	Crie	G
674	1550	Crie	G
675	1550	Crie	S
676	1550	Crie	S
677	1550	Crie	S
678	1550	Crie	S
679	1550	Crie	S
680	1550	Crie	S
681	1550	Crie	S
682	1550	Crie	S
683	1550	Crie	S
684	1550	Crie	S
685	1550	Crie	S
686	1550	Crie	S
687	1550	Crie	S
688	1550	Crie	S
689	1550	Crie	S
690	1550	Crie	S
691	1550	Crie	S
692	1550	Crie	S
693	1550	Crie	S
694	1550	Crie	S
695	1550	Crie	S
696	1550	Crie	S
697	1550	Crie	S
698	1550	Crie	S
699	1550	Crie	S
700	1550	Crie	S
701	1550	Crie	S
702	1550	Crie	S
703	1550	Crie	S
704	1550	Crie	S
705	1550	Crie	S
706	1550	Crie	S
707	1550	Crie	S
708	1550	Crie	S
709	1550	Crie	S
710	1550	Crie	S
711	1550	Crie	S
712	1550	Crie	S
713	1550	Crie	S
714	1550	Crie	S
715	1550	Crie	S
716	1550	Crie	S
717	1550	Crie	S
718	1550	Crie	S
719	1550	Crie	S
720	1555	Crie	G
721	1555	Crie	G
722	1555	Crie	S
723	1555	Crie	S
724	1555	Crie	S
725	1555	Crie	S
726	1555	Crie	S
727	1555	Crie	S
728	1555	Crie	S
729	1555	Crie	S
730	1555	Crie	S
731	1555	Crie	S
732	1555	Crie	S
733	1555	Crie	S
734	1555	Crie	S
735	1555	Crie	S
736	1555	Crie	S
737	1555	Crie	S
738	1555	Crie	S
739	1555	Crie	S
740	1555	Crie	S
741	1555	Crie	S
742	1555	Crie	S
743	1555	Crie	S
744	1555	Crie	S
745	1555	Crie	S
746	1555	Crie	S
747	1555	Crie	S
748	1555	Crie	S
749	1555	Crie	S
750	1555	Crie	S
751	1555	Crie	S
752	1555	Crie	S
753	1555	Crie	S
754	1555	Crie	S
755	1555	Crie	S
756	1555	Crie	S
757	1555	Crie	S
758	1555	Crie	S
759	1555	Crie	S
760	1555	Crie	S
761	1555	Crie	S
762	1555	Crie	S
763	1555	Crie	S
764	1555	Crie	S
765	1560	Crie	S
766	1560	Crie	S
767	1560	Crie	S
768	1560	Crie	S
769	1560	Crie	S
770	1560	Crie	S
771	1495	schiV	S
772	1525	schiV	S
773	1545	schiV	G
774	1545	schiV	S
775	1555	schiV	G
776	1505	lli	S
777	1505	lli	S
778	1505	lli	S
779	1505	lli	S
780	1505	lli	S
781	1505	lli	S
782	1505	lli	S
783	1505	lli	S
784	1505	lli	S
785	1510	lli	G
786	1510	lli	G
787	1510	lli	G
788	1510	lli	S
789	1510	lli	S
790	1510	lli	S
791	1510	lli	S
792	1510	lli	S
793	1510	lli	S
794	1510	lli	S
795	1510	lli	S
796	1510	lli	S
797	1515	lli	G
798	1515	lli	G
799	1515	lli	S
800	1515	lli	S
801	1515	lli	S
802	1515	lli	S
803	1515	lli	S
804	1515	lli	S
805	1515	lli	S
806	1515	lli	S
807	1515	lli	S
808	1515	lli	S
809	1515	lli	S
810	1520	lli	S
811	1520	lli	S
812	1520	lli	S
813	1520	lli	S
814	1520	lli	S
815	1520	lli	S
816	1520	lli	S
817	1520	lli	S
818	1525	lli	S
819	1525	lli	S
820	1525	lli	S
821	1525	lli	S
822	1525	lli	S
823	1525	lli	S
824	1530	lli	G
825	1530	lli	S
826	1540	lli	G
827	1540	lli	G
828	1540	lli	G
829	1540	lli	S
830	1540	lli	S
831	1540	lli	S
832	1540	lli	S
833	1540	lli	S
834	1540	lli	S
835	1540	lli	S
836	1540	lli	S
837	1545	lli	G
838	1545	lli	G
839	1545	lli	G
840	1545	lli	G
841	1545	lli	G
842	1545	lli	G
843	1545	lli	G
844	1545	lli	S
845	1545	lli	S
846	1545	lli	S
847	1545	lli	S
848	1545	lli	S
849	1545	lli	S
850	1545	lli	S
851	1545	lli	S
852	1545	lli	S
853	1545	lli	S
854	1545	lli	S
855	1545	lli	S
856	1545	lli	S
857	1545	lli	S
858	1545	lli	S
859	1545	lli	S
860	1545	lli	S
861	1550	lli	G
862	1550	lli	G
863	1550	lli	G
864	1550	lli	S
865	1550	lli	S
866	1550	lli	S
867	1550	lli	S
868	1550	lli	S
869	1550	lli	S
870	1550	lli	S
871	1555	lli	G
872	1555	lli	G
873	1560	lli	G
874	1560	lli	G
875	1560	lli	G
876	1560	lli	G
877	1560	lli	G
878	1560	lli	G
879	1560	lli	G
880	1560	lli	G
881	1560	lli	G
882	1560	lli	G
883	1560	lli	G
884	1560	lli	G
885	1560	lli	G
886	1560	lli	G
887	1560	lli	S
888	1560	lli	S
889	1495	art	G
890	1495	art	S
891	1495	art	S
892	1495	art	S
893	1495	art	S
894	1495	art	S
895	1505	art	G
896	1505	art	G
897	1505	art	G
898	1505	art	G
899	1505	art	G
900	1505	art	G
901	1505	art	G
902	1505	art	G
903	1505	art	G
904	1505	art	G
905	1505	art	G
906	1505	art	G
907	1505	art	G
908	1505	art	G
909	1505	art	G
910	1505	art	G
911	1505	art	G
912	1505	art	G
913	1505	art	G
914	1505	art	G
915	1505	art	G
916	1505	art	G
917	1505	art	G
918	1505	art	G
919	1505	art	G
920	1505	art	G
921	1505	art	G
922	1505	art	G
923	1505	art	G
924	1505	art	G
925	1505	art	G
926	1505	art	G
927	1505	art	G
928	1505	art	G
929	1505	art	S
930	1505	art	S
931	1505	art	S
932	1505	art	S
933	1505	art	S
934	1505	art	S
935	1505	art	S
936	1505	art	S
937	1505	art	S
938	1505	art	S
939	1505	art	S
940	1505	art	S
941	1505	art	S
942	1505	art	S
943	1505	art	S
944	1505	art	S
945	1505	art	S
946	1505	art	S
947	1505	art	S
948	1505	art	S
949	1505	art	S
950	1505	art	S
951	1505	art	S
952	1505	art	S
953	1505	art	S
954	1505	art	S
955	1505	art	S
956	1505	art	S
957	1505	art	S
958	1505	art	S
959	1505	art	S
960	1505	art	S
961	1505	art	S
962	1505	art	S
963	1505	art	S
964	1510	art	G
965	1510	art	G
966	1510	art	G
967	1510	art	G
968	1510	art	G
969	1510	art	G
970	1510	art	G
971	1510	art	G
972	1510	art	G
973	1510	art	G
974	1510	art	G
975	1510	art	G
976	1510	art	G
977	1510	art	S
978	1510	art	S
979	1510	art	S
980	1510	art	S
981	1510	art	S
982	1510	art	S
983	1510	art	S
984	1510	art	S
985	1510	art	S
986	1510	art	S
987	1510	art	S
988	1510	art	S
989	1510	art	S
990	1510	art	S
991	1510	art	S
992	1510	art	S
993	1510	art	S
994	1510	art	S
995	1510	art	S
996	1510	art	S
997	1510	art	S
998	1510	art	S
999	1510	art	S
1000	1510	art	S
1001	1510	art	S
1002	1510	art	S
1003	1510	art	S
1004	1510	art	S
1005	1510	art	S
1006	1510	art	S
1007	1510	art	S
1008	1510	art	S
1009	1510	art	S
1010	1510	art	S
1011	1510	art	S
1012	1510	art	S
1013	1510	art	S
1014	1510	art	S
1015	1515	art	G
1016	1515	art	G
1017	1515	art	G
